mro_code,mro_acc_code,mro_mer_code,mro_sys_code,mro_tran_code,mro_tran_curr_code,updated_at
2009,2425319,2436661,,,150,2024-08-07 07:05:08.091
2010,2425320,2436681,,,150,2024-08-07 07:05:08.091
2029,2430699,2437061,,,150,2024-08-07 07:05:08.091
2030,2430700,2437081,,,150,2024-08-07 07:05:08.091
2031,2430701,2437101,,,150,2024-08-07 07:05:08.091
2032,2430702,2437121,,,150,2024-08-07 07:05:08.091
2033,2430703,2437141,,,150,2024-08-07 07:05:08.091
2034,2430704,2437161,,,150,2024-08-07 07:05:08.091
2035,2430705,2437181,,,150,2024-08-07 07:05:08.091
2036,2430706,2437201,,,150,2024-08-07 07:05:08.091
2037,2430707,2437221,,,150,2024-08-07 07:05:08.091
2038,2430708,2437241,,,150,2024-08-07 07:05:08.091
2039,2430709,2437261,,,150,2024-08-07 07:05:08.091
2040,2430710,2437281,,,150,2024-08-07 07:05:08.091
2041,2430711,2437301,,,150,2024-08-07 07:05:08.091
2042,2430712,2437321,,,150,2024-08-07 07:05:08.091
2043,2430713,2437341,,,150,2024-08-07 07:05:08.091
2044,2430714,2437361,,,150,2024-08-07 07:05:08.091
2045,2430715,2437381,,,150,2024-08-07 07:05:08.091
2046,2430716,2437401,,,150,2024-08-07 07:05:08.091
2047,2430717,2437421,,,150,2024-08-07 07:05:08.091
2048,2430718,2437441,,,150,2024-08-07 07:05:08.091
2049,2430719,2437461,,,150,2024-08-07 07:05:08.091
2050,2430720,2437481,,,150,2024-08-07 07:05:08.091
2051,2430721,2437501,,,150,2024-08-07 07:05:08.091
2052,2430722,2437521,,,150,2024-08-07 07:05:08.091
2053,2430723,2437541,,,150,2024-08-07 07:05:08.091
2054,2430724,2437561,,,150,2024-08-07 07:05:08.091
2055,2430725,2437581,,,150,2024-08-07 07:05:08.091
2056,2430726,2437601,,,150,2024-08-07 07:05:08.091
2057,2430727,2437621,,,150,2024-08-07 07:05:08.091
2058,2430728,2437641,,,150,2024-08-07 07:05:08.091
2059,2430729,2437661,,,150,2024-08-07 07:05:08.091
2060,2430730,2437681,,,150,2024-08-07 07:05:08.091
2061,2430731,2437701,,,150,2024-08-07 07:05:08.091
2062,2430732,2437721,,,150,2024-08-07 07:05:08.091
2063,2430733,2437741,,,150,2024-08-07 07:05:08.091
2069,2431948,2437861,,,150,2024-08-07 07:05:08.091
2070,2431949,2437881,,,150,2024-08-07 07:05:08.091
2071,2431950,2437901,,,150,2024-08-07 07:05:08.091
2072,2431951,2437921,,,150,2024-08-07 07:05:08.091
2073,2431952,2437941,,,150,2024-08-07 07:05:08.091
2089,2437959,2438261,,,150,2024-08-07 07:05:08.091
2090,2437960,2438281,,,150,2024-08-07 07:05:08.091
2091,2437961,2438301,,,150,2024-08-07 07:05:08.091
2092,2437962,2438321,,,150,2024-08-07 07:05:08.091
2093,2437963,2438341,,,150,2024-08-07 07:05:08.091
2094,2437964,2438361,,,150,2024-08-07 07:05:08.091
2095,2437965,2438381,,,150,2024-08-07 07:05:08.091
2096,2437966,2438401,,,150,2024-08-07 07:05:08.091
2097,2437967,2438421,,,150,2024-08-07 07:05:08.091
2098,2437968,2438441,,,150,2024-08-07 07:05:08.091
2099,2437969,2438461,,,150,2024-08-07 07:05:08.091
2100,2437970,2438481,,,150,2024-08-07 07:05:08.091
2101,2437971,2438501,,,150,2024-08-07 07:05:08.091
2102,2437972,2438521,,,150,2024-08-07 07:05:08.091
2103,2437973,2438541,,,150,2024-08-07 07:05:08.091
2104,2437974,2438561,,,150,2024-08-07 07:05:08.091
2105,2437975,2438581,,,150,2024-08-07 07:05:08.091
2106,2437976,2438601,,,150,2024-08-07 07:05:08.091
2107,2437977,2438621,,,150,2024-08-07 07:05:08.091
2108,2437978,2438641,,,150,2024-08-07 07:05:08.091
2109,2437979,2438661,,,150,2024-08-07 07:05:08.091
2110,2437980,2438681,,,150,2024-08-07 07:05:08.091
2111,2437981,2438701,,,150,2024-08-07 07:05:08.091
2112,2437982,2438721,,,150,2024-08-07 07:05:08.091
2113,2437983,2438741,,,150,2024-08-07 07:05:08.091
2114,2437984,2438761,,,150,2024-08-07 07:05:08.091
2115,2437985,2438781,,,150,2024-08-07 07:05:08.091
2116,2437986,2438801,,,150,2024-08-07 07:05:08.091
2117,2437987,2438821,,,150,2024-08-07 07:05:08.091
2118,2437988,2438841,,,150,2024-08-07 07:05:08.091
2119,2437989,2438861,,,150,2024-08-07 07:05:08.091
2120,2437990,2438881,,,150,2024-08-07 07:05:08.091
2121,2437991,2438901,,,150,2024-08-07 07:05:08.091
2122,2437992,2438921,,,150,2024-08-07 07:05:08.091
2123,2437993,2438941,,,150,2024-08-07 07:05:08.091
2124,2437994,2438961,,,150,2024-08-07 07:05:08.091
2125,2437995,2438981,,,150,2024-08-07 07:05:08.091
2126,2437996,2439001,,,150,2024-08-07 07:05:08.091
2127,2437997,2439021,,,150,2024-08-07 07:05:08.091
2128,2437998,2439041,,,150,2024-08-07 07:05:08.091
2129,2437999,2439061,,,150,2024-08-07 07:05:08.091
2130,2438000,2439081,,,150,2024-08-07 07:05:08.091
2131,2438001,2439101,,,150,2024-08-07 07:05:08.091
2132,2438002,2439121,,,150,2024-08-07 07:05:08.091
2133,2438003,2439141,,,150,2024-08-07 07:05:08.091
2134,2438004,2439161,,,150,2024-08-07 07:05:08.091
2135,2438005,2439181,,,150,2024-08-07 07:05:08.091
2136,2438006,2439201,,,150,2024-08-07 07:05:08.091
2137,2438007,2439221,,,150,2024-08-07 07:05:08.091
2149,2438179,2439461,,,150,2024-08-07 07:05:08.091
2169,2440239,2439861,,,150,2024-08-07 07:05:08.091
2189,2446400,2440261,,,150,2024-08-07 07:05:08.091
2209,2446439,2440661,,,150,2024-08-07 07:05:08.091
2210,2446440,2440681,,,150,2024-08-07 07:05:08.091
2211,2446441,2440701,,,150,2024-08-07 07:05:08.091
2212,2446442,2440721,,,150,2024-08-07 07:05:08.091
2213,2446443,2440741,,,150,2024-08-07 07:05:08.091
2229,2446549,2441061,,,150,2024-08-07 07:05:08.091
2230,2446550,2441081,,,150,2024-08-07 07:05:08.091
2231,2446551,2441101,,,150,2024-08-07 07:05:08.091
2232,2446552,2441121,,,150,2024-08-07 07:05:08.091
2233,2446553,2441141,,,150,2024-08-07 07:05:08.091
2234,2446554,2441161,,,150,2024-08-07 07:05:08.091
2235,2446555,2441181,,,150,2024-08-07 07:05:08.091
2236,2446556,2441201,,,150,2024-08-07 07:05:08.091
2237,2446557,2441221,,,150,2024-08-07 07:05:08.091
2238,2446558,2441241,,,150,2024-08-07 07:05:08.091
2239,2446559,2441261,,,150,2024-08-07 07:05:08.091
2240,2446560,2441281,,,150,2024-08-07 07:05:08.091
2241,2446561,2441301,,,150,2024-08-07 07:05:08.091
2249,2448579,2441461,,,150,2024-08-07 07:05:08.091
2250,2448580,2441481,,,150,2024-08-07 07:05:08.091
2269,2452759,2441861,,,150,2024-08-07 07:05:08.091
2270,2452760,2441881,,,150,2024-08-07 07:05:08.091
2271,2452761,2441901,,,150,2024-08-07 07:05:08.091
2272,2452762,2441921,,,150,2024-08-07 07:05:08.091
2273,2452763,2441941,,,150,2024-08-07 07:05:08.091
2274,2452764,2441961,,,150,2024-08-07 07:05:08.091
2289,2452839,2442261,,,150,2024-08-07 07:05:08.091
2309,2452899,2442661,,,150,2024-08-07 07:05:08.091
2310,2452900,2442681,,,150,2024-08-07 07:05:08.091
