mac_tcc,mac_code,mac_iden,mac_labe,updated_at
H,1010520,3527,DOWNTOWNER-PASSPORT           ,2024-08-07 07:05:07.198
H,1010540,3528,RED LION INNS                 ,2024-08-07 07:05:07.198
H,1010560,3529,CP(CANADIAN PACIFIC)          ,2024-08-07 07:05:07.198
H,1010580,3530,RENAISSANCE HOTEL             ,2024-08-07 07:05:07.198
H,1010600,3533,HOTEL IBIS                    ,2024-08-07 07:05:07.198
H,1010620,3534,SOUTHERN PACIFIC              ,2024-08-07 07:05:07.198
H,1010640,3535,HILTON INT`L                  ,2024-08-07 07:05:07.198
H,1010660,3536,AMFAC HOTELS                  ,2024-08-07 07:05:07.198
H,1010680,3537,ANA HOTELS                    ,2024-08-07 07:05:07.198
H,1010700,3538,CONCORDE HOTELS               ,2024-08-07 07:05:07.198
H,1010720,3540,IBEROTEL                      ,2024-08-07 07:05:07.198
H,1010740,3541,HOTEL OKURA                   ,2024-08-07 07:05:07.198
H,1010760,3544,CIGA HOTELS                   ,2024-08-07 07:05:07.198
