bra_code,bra_iden,bra_init,bra_province,bra_bank_code,bra_corp_name,bra_sequ_numb,bra_sub_province,updated_at
5191,18,1007018,Province 3,1,BOUDHA,100,Boudha,2024-08-07 07:03:06.983
5192,Y1,1007341,Province 3,1,Dhapasi,100,Thankot,2024-08-07 07:03:06.983
5193,F2,1007152,Province 5,1,BUDDHACHOWK,100,Bhairahawa,2024-08-07 07:03:06.983
5194,R4,1007274,Province 1,1,BUDDHACHOWK  SUNSARI,100,Dharan,2024-08-07 07:03:06.983
5195,85,1007085,Province 1,1,BUDHABARE,100,Ilam,2024-08-07 07:03:06.983
5196,X7,1007337,Province 3,1,Budhanilkantha,100,Tokha,2024-08-07 07:03:06.983
5197,P7,1007257,Province 4,1,BUDHIBAZAR,100,Pokhara,2024-08-07 07:03:06.983
5198,15,1007015,Province 5,1,BUTWAL,100,Butwal,2024-08-07 07:03:06.983
5199,99,1007099,Province 5,1,Card Center,100,Butwal,2024-08-07 07:03:06.983
5200,O8,1007248,Province 3,1,CHABAHIL,100,Koteshwor,2024-08-07 07:03:06.983
5201,N7,1007237,Province 2,1,CHAKRAGHATTA,100,Hariwon,2024-08-07 07:03:06.983
5202,Y0,1007340,Province 3,1,Chalnakhel,100,Thankot,2024-08-07 07:03:06.983
5203,Q6,1007266,Province 3,1,CHANAULI,100,Narayangarh,2024-08-07 07:03:06.983
5204,67,1007067,Province 1,1,CHANDRAGADI,100,Birtamode,2024-08-07 07:03:06.983
5205,C4,1007124,Province 2,1,CHANDRANIGAHAPUR,100,Gaur,2024-08-07 07:03:06.983
5206,K9,1007209,Province 5,1,CHANDRAUTA,100,Butwal,2024-08-07 07:03:06.983
5207,S8,1007288,Province 3,1,Chapagaun,100,Thankot,2024-08-07 07:03:06.983
5208,C2,1007122,Province 3,1,CHARIKOT,100,Banepa,2024-08-07 07:03:06.983
5209,L1,1007211,Province 1,1,CHARPANE,100,Birtamode,2024-08-07 07:03:06.983
5210,Z4,1007354,Province 7,1,Chaumala,100,Dhangadhi,2024-08-07 07:03:06.983
5211,11,1007011,Province 3,1,CHHETRAPATI,100,Corporate Office,2024-08-07 07:03:06.983
5212,54,1007054,Province 3,1,CORPORATE OFFICE BRANCH,100,Corporate Office,2024-08-07 07:03:06.983
5213,I6,1007186,Province 7,1,DADELDHURA,100,Dadeldhura,2024-08-07 07:03:06.983
5214,T9,1007299,Province 6,1,Dailekh,100,Surkhet,2024-08-07 07:03:06.983
5215,77,1007077,Province 4,1,DALDALE,100,Gaidakot,2024-08-07 07:03:06.983
5216,N5,1007235,Province 6,1,DALLIBAZAR,100,Surkhet,2024-08-07 07:03:06.983
5217,34,1007034,Province 1,1,DAMAK,100,Damak,2024-08-07 07:03:06.983
5218,P5,1007255,Province 1,1,DAMAK CHOWK,100,Damak,2024-08-07 07:03:06.983
5219,57,1007057,Province 4,1,DAMAULI,100,Damauli,2024-08-07 07:03:06.983
5220,B5,1007115,Province 7,1,DARCHULA,100,Dadeldhura,2024-08-07 07:03:06.983
5221,P6,1007256,Province 5,1,DEVINAGAR,100,Rajmarga Chauraha,2024-08-07 07:03:06.983
5222,Z0,1007350,Province 5,1,Devkota Chowk,100,Bhairahawa,2024-08-07 07:03:06.983
5223,W5,1007325,Province 1,1,Dewangunj,100,Biratnagar,2024-08-07 07:03:06.983
5224,E5,1007145,Province 3,1,DHADINGBESI,100,Battar,2024-08-07 07:03:06.983
5225,94,1007094,Province 5,1,DHAKDHAHI,100,Sunwal,2024-08-07 07:03:06.983
5226,25,1007025,Province 7,1,DHANGADHI  HOSPITAL LINE,100,Dhangadhi,2024-08-07 07:03:06.983
5227,38,1007038,Province 7,1,DHANGADI CHAURAHA,100,Dhangadhi,2024-08-07 07:03:06.983
5228,P3,1007253,Province 1,1,DHANKUTA,100,Hile,2024-08-07 07:03:06.983
5229,V6,1007316,Province 2,1,Dhanushadham,100,Janakpur,2024-08-07 07:03:06.983
5230,23,1007023,Province 1,1,DHARANMB,100,Dharan,2024-08-07 07:03:06.983
5231,J2,1007192,Province 3,1,DHARKE,100,Battar,2024-08-07 07:03:06.983
5232,C9,1007129,Province 1,1,DHULABARI,100,Ilam,2024-08-07 07:03:06.983
5233,H3,1007173,Province 3,1,DHULIKHEL,100,Banepa,2024-08-07 07:03:06.983
5234,V2,1007312,Province 3,1,Dhungedhara Nursery Chowk,100,Tokha,2024-08-07 07:03:06.983
5235,T5,1007295,Province 1,1,Diktel,100,Gaighat,2024-08-07 07:03:06.983
5236,29,1007029,Province 3,1,DILLIBAZAR,100,Corporate Office,2024-08-07 07:03:06.983
5237,X5,1007335,Province 5,1,Dingarnagar,100,Rajmarga Chauraha,2024-08-07 07:03:06.983
5238,M9,1007229,Province 1,1,DINGLA,100,Hile,2024-08-07 07:03:06.983
5239,H8,1007178,Province 7,1,DIPAYAL,100,Dadeldhura,2024-08-07 07:03:06.983
5240,AA,,Province 5,1,DIPNAGAR,100,Sunwal,2024-08-07 07:03:06.983
5241,T3,1007293,Province 7,1,Dodhara Chandani,100,Dhangadhi,2024-08-07 07:03:06.983
5242,I0,1007180,Province 5,1,DRIVER TOLE,100,Rajmarga Chauraha,2024-08-07 07:03:06.983
5243,A8,1007108,Province 1,1,DUHABI,100,Biratnagar,2024-08-07 07:03:06.983
5244,A3,1007103,Province 4,1,DULEGAUDA,100,Damauli,2024-08-07 07:03:06.983
5245,F4,1007154,Province 4,1,DUMKIBAS,100,Gaidakot,2024-08-07 07:03:06.983
5246,E6,1007146,Province 4,1,DUMRE,100,Damauli,2024-08-07 07:03:06.983
5247,V0,1007310,Province 3,1,Durbarmarga,100,Corporate Office,2024-08-07 07:03:06.983
5248,G9,1007169,Province 3,1,DUWAKOT,100,Bhaktapur,2024-08-07 07:03:06.983
5249,O7,1007247,Province 1,1,FALGUNANDA CHOWK,100,Damak,2024-08-07 07:03:06.983
5250,Q9,1007269,Province 2,1,FATTEPUR,100,Lahan,2024-08-07 07:03:06.983
5251,S7,1007287,Province 1,1,Fungling,100,Ilam,2024-08-07 07:03:06.983
5252,Z2,1007352,Province 5,1,Gadawa,100,Tulsipur,2024-08-07 07:03:06.983
5253,W8,1007328,Province 5,1,Gaidahawa,100,Rajmarga Chauraha,2024-08-07 07:03:06.983
5254,H9,1007179,Province 4,1,GAIDAKOT,100,Gaidakot,2024-08-07 07:03:06.983
5255,40,1007040,Province 1,1,GAIGHAT,100,Gaighat,2024-08-07 07:03:06.983
5256,I4,1007184,Province 3,1,GAJURI,100,Battar,2024-08-07 07:03:06.983
5257,K5,1007205,Province 3,1,GALCHHI,100,Battar,2024-08-07 07:03:06.983
5258,O1,1007241,Province 2,1,GARUDA,100,Gaur,2024-08-07 07:03:06.983
5259,46,1007046,Province 2,1,GAUR,100,Gaur,2024-08-07 07:03:06.983
5260,87,1007087,Province 1,1,GAURADAHA,100,Damak,2024-08-07 07:03:06.983
5261,L3,1007213,Province 1,1,GAURIGUNJ,100,Damak,2024-08-07 07:03:06.983
5262,R1,1007271,Province 2,1,GAUSHALA,100,Bardibas,2024-08-07 07:03:06.983
5263,I2,1007182,Province 3,1,GEETANAGAR,100,Narayangarh,2024-08-07 07:03:06.983
5264,92,1007092,Province 5,1,GHORAHI,100,Tulsipur,2024-08-07 07:03:06.983
5265,H7,1007177,Province 3,1,Mahalaxmi Lalitpur,100,Thankot,2024-08-07 07:03:06.983
5266,N9,1007239,Province 2,1,GOLBAZAR,100,Bardibas,2024-08-07 07:03:06.983
5267,64,1007064,Province 3,1,GOLFUTAR,100,Boudha,2024-08-07 07:03:06.983
5268,S0,1007280,Province 3,1,Gongabu,100,Maharajgunj,2024-08-07 07:03:06.983
5269,F3,1007153,Province 5,1,GOPIGUNJ,100,Sunwal,2024-08-07 07:03:06.983
5270,E7,1007147,Province 4,1,GORKHA,100,Damauli,2024-08-07 07:03:06.983
5271,G2,1007162,Province 3,1,GOTHATAR,100,Boudha,2024-08-07 07:03:06.983
5272,W4,1007324,Province 1,1,Gramathan,100,Itahari,2024-08-07 07:03:06.983
5273,26,1007026,Province 3,1,GWARKO,100,Koteshwor,2024-08-07 07:03:06.983
5274,U1,1007301,Province 3,1,Gyaneshwor,100,Putalisadak,2024-08-07 07:03:06.983
5275,P2,1007252,Province 1,1,HAAT KHOLA,100,Biratnagar,2024-08-07 07:03:06.983
5276,A4,1007104,Province 3,1,HAKIM CHOWK,100,Narayangarh,2024-08-07 07:03:06.983
5277,W6,1007326,Province 2,1,Haripur,100,Hariwon,2024-08-07 07:03:06.983
5278,D8,1007138,Province 2,1,HARIPURWA,100,Bardibas,2024-08-07 07:03:06.983
5279,45,1007045,Province 2,1,HARIWON,100,Hariwon,2024-08-07 07:03:06.983
5280,Z5,1007355,Province 7,1,Hasuliya,100,Dhangadhi,2024-08-07 07:03:06.983
